id	declared_type	grounded_type	coverage	classification	n_corrections	grounded_source	gpt_claimed_source	span	correction_top	gpt_rationale
R003759:a2	hadith	quran	0.0	likely_WRONG_topical_drift	1	سورة البقرة 279	سورة البقرة 279	لا تَظلموا وَلا تَظلموا، وَلا تَغلبوا وَلا تُغلبوا، وَلا تَعتَدوا وَلا تُعَطَّدوا	فَإِنْ لَمْ تَفْعَلُوا فَأْذَنُوا بِحَرْبٍ مِنَ اللَّهِ وَرَسُولِهِ ۖ وَإِنْ تُبْتُمْ فَلَكُمْ رُءُوسُ أَمْوَالِكُمْ لَا تَظْلِمُونَ وَلَا تُظْلَمُونَ	العبارة ليست حديثًا صحيحًا بهذه الصياغة، لكن صدرها يُستعاد بوضوح إلى قوله تعالى في البقرة 279: «لَا تَظْلِمُونَ وَلَا تُظْلَمُونَ». وقع تحويل الخبر إلى نهيٍ بصيغة «لا تظلموا ولا تظلموا»، ثم أُلصقت بها زيادات ملفقة: «ولا تغلبوا... ولا تعتدوا...». فلا يثبت من كامل span إلا هذا الأصل القرآني.
R004005:a8	hadith	quran	0.0	likely_WRONG_topical_drift	1	سورة الطلاق 3	سورة الطلاق 3	مَنْ تَوَكَّلَ عَلَى اللَّهِ فَهُوَ رَضِيٌّ عَنْهُ	وَيَرْزُقْهُ مِنْ حَيْثُ لَا يَحْتَسِبُ ۚ وَمَنْ يَتَوَكَّلْ عَلَى اللَّهِ فَهُوَ حَسْبُهُ ۚ إِنَّ اللَّهَ بَالِغُ أَمْرِهِ ۚ قَدْ جَعَلَ اللَّهُ لِكُلِّ شَيْءٍ قَدْرًا	العبارة ليست حديثًا من الكتب الستة، لكنها تبدو تحريفًا لقول الله تعالى في سورة الطلاق: «وَمَن يَتَوَكَّلْ عَلَى اللَّهِ فَهُوَ حَسْبُهُ». العمود اللفظي «يتوكل على الله فهو» ظاهر، ثم بُدِّل الخبر من «حسبه» إلى «رضيٌّ عنه».
R005654:a3	hadith	quran	0.06	likely_WRONG_topical_drift	1	سورة النور 30	سورة النور 30	مرَّ رجلٌ من الأنصار في طرقات المدينة، فاستقبلته امرأة، فنظر إليها ونظرت إليه، فوسوس لهما الشيطان أنهما لم ينظرا إلا إعجاباً، فبينا الرجل يمشي إلى جنب حائط (جدار) وهو ينظر إليها، إذ استقبله الحائط (أي اصطدم به) فشقَّ أنفه (أو وجهه)، فقال: والله لا أغسل الدم حتى آتي رسول الله ﷺ فأُعْلِمَه أمري، فأتاه فقصَّ عليه القصة، فقال النبي ﷺ: «هذا عقوبة ذنبك»، وأنزل الله تعالى: ﴿قُل لِّلْمُؤْمِنِينَ يَغُضُّوا مِنْ أَبْصَارِهِمْ...﴾	قُلْ لِلْمُؤْمِنِينَ يَغُضُّوا مِنْ أَبْصَارِهِمْ وَيَحْفَظُوا فُرُوجَهُمْ ۚ ذَٰلِكَ أَزْكَىٰ لَهُمْ ۗ إِنَّ اللَّهَ خَبِيرٌ بِمَا يَصْنَعُونَ	القصة المسهبة عن الرجل والمرأة واصطدامه بالحائط لا تُعرف بهذا اللفظ في القرآن ولا في الكتب الستة، فلا يُصحَّح منها كحديث. لكن خاتمتها تتضمن اقتباسًا قرآنيًا صريحًا: 'قل للمؤمنين يغضوا من أبصارهم'، وهو صدر آية النور 30؛ لذا فالموضع القابل للتصحيح هنا هو الآية فقط، لا القصة بوصفها حديثًا.
R001618:a1	hadith	quran	0.07	likely_WRONG_topical_drift	1	سورة البقرة 144	سورة البقرة 144	إذا رأيتموه يتقلب وجهه في السماء، ألا تنظروا إلى السماوات، ولا تنظروا إلى الأرض، ولا تقبلوا أنفاسك؛ فإن الأمور لله، وهي تتقلب وتتباعد	قَدْ نَرَىٰ تَقَلُّبَ وَجْهِكَ فِي السَّمَاءِ ۖ فَلَنُوَلِّيَنَّكَ قِبْلَةً تَرْضَاهَا ۚ فَوَلِّ وَجْهَكَ شَطْرَ الْمَسْجِدِ الْحَرَامِ ۚ وَحَيْثُ مَا كُنْتُمْ فَوَلُّوا وُجُوهَكُمْ شَطْرَهُ ۗ وَإِنَّ الَّذِينَ أُوتُوا الْكِتَابَ لَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِنْ رَبِّهِمْ ۗ وَمَا اللَّهُ بِغَافِلٍ عَمَّا يَعْمَلُونَ	العبارة ليست حديثًا نبويًا، لكن صدرها يحرّف بوضوح الآية القرآنية «قَدْ نَرَىٰ تَقَلُّبَ وَجْهِكَ فِي السَّمَاءِ» من البقرة 144؛ وأقرب run فيها هو «يتقلب وجهه في السماء» مع فساد الضمير وزيادة «إذا رأيتموه». أما بقية الكلام («لا تنظروا... فإن الأمور لله...») فمركّب مضطرب لا يطابق نصًّا واحدًا من القرآن أو الكتب الستة.
R000993:a1	hadith	quran	0.07	likely_WRONG_topical_drift	1	سورة الحشر 8	سورة الحشر 8	يَا مُوسَى، قَالَ: رَبِّ، مَا هَذَا الْمَالُ؟ قَالَ: هُوَ لِلْمُهَاجِرِينَ، الَّذِينَ خَرَجُوا مِنْ دِيَارِهِمْ وَأَمْوَالِهِمْ يَسْتَعْبِدُونَ أَنفُسَهُمْ لِيَشْكُرُوا نِعْمَتِي، وَيَتَحَبَّبُونَ إِلَيَّ، فَأَعْلَنْتُهُ عَلَى الْمُسْتَضْعَفِينَ مِنَ الْعِبَادِ وَالَّذِينَ إِذَا قَضَوْتُ إِلَيْهِمْ أَمْوَالَهُمْ لا يُسْأَلُونَ أَكَثَّرَ مِنْهُ وَالَّذِينَ إِذَا حَكَمْتُ فِيهِمْ أَنْ تَقُومَ أَنْفُسُهُمْ وَأَنْ يَقُولُوا قَدْ أَصَبْنَا قَالَ: فَمَا مَنَّكَ رَبُّكَ بِمَا مَنَّ بِهِ عَلَيْكَ فَادَّخَرَهُ لَكَ وَأَعْطَاكَ مِنْهُ كَذَا وَكَذَا؟ قَالَ: لاَ، قَالَ: فَأَعْطِهِ مِنْهُ حَتَّى تَكُونَ قَدْ أَدَّيْتَ فَرِيضَتِي، وَأَدَّيْتَ الَّذِي عَلَيْكَ، وَأَرَدْتَ أَنْ تَتَزَوَّجَ فَتَأْخُذَ مِنْهُ كَذَا وَكَذَا	لِلْفُقَرَاءِ الْمُهَاجِرِينَ الَّذِينَ أُخْرِجُوا مِنْ دِيَارِهِمْ وَأَمْوَالِهِمْ يَبْتَغُونَ فَضْلًا مِنَ اللَّهِ وَرِضْوَانًا وَيَنْصُرُونَ اللَّهَ وَرَسُولَهُ ۚ أُولَـٰئِكَ هُمُ الصَّادِقُونَ	العبارة ليست حديثًا، وأكثرها تركيب مضطرب ومفبرك، لكن صدرها يحرّف بوضوح آية من سورة الحشر: 'للمهاجرين ... من ديارهم وأموالهم' يشير إلى قوله تعالى 'لِلْفُقَرَاءِ الْمُهَاجِرِينَ الَّذِينَ أُخْرِجُوا مِن دِيَارِهِمْ وَأَمْوَالِهِمْ'. أمّا بقية الكلام فلا يطابق نصًا قانونيًا من القرآن أو الكتب الستة.
R003943:a2	hadith	quran	0.08	likely_WRONG_topical_drift	1	سورة مريم 40	سورة مريم 40	إِنَّ اللَّهَ يَرِثُ الْأَرْضَ وَمَنْ عَلَيْهَا وَإِنَّهُ لَا يَوْرِثُ الصَّالِحَ مِنْ بَعْدِ الصَّالِحِ إِلَّا مَنْ زَوَّجَهُ أَوْ أَعْطَاهُ صَدَقَةً مُبَرَّرَةً وَإِنَّهُ لَا وَرَثَةَ لِمَنْ أَرَادَ اللَّهُ بِهِ خَيْرًا إِلَّا وُلِدُهُ وَأَوْلَى النَّاسِ بِكُلِّ إِنْسَانٍ أُمُّهُ ثُمَّ الَّذِينَ يَقُومُونَ بِهِ بِحَقِّهِ أَوْلَى بِهِ مِنْ أَبِيهِ	إِنَّا نَحْنُ نَرِثُ الْأَرْضَ وَمَنْ عَلَيْهَا وَإِلَيْنَا يُرْجَعُونَ	The span is largely fabricated/stitched, but its opening clearly distorts one Qur'anic verse through the recognizable contiguous phrase 'الأرض ومن عليها', pointing to مريم 40. The remaining clauses about inheritance, offspring, charity, and the mother being foremost do not reproduce any additional single canonical hadith or verse by a meaningful contiguous run.
R003289:a1	hadith	quran	0.08	likely_WRONG_topical_drift	1	سورة المائدة 6	سورة المائدة 6	إِذَا تَطَهَّرَ الرَّجُلُ فَإِنَّهُ يَجِبُ عَلَيْهِ أَنْ يَغْسِلَ وَجْهَهُ وَيَدَيْهِ إِلَى الْمِرْفَقَيْنِ وَمَسْحَ الرَّأْسِ وَغَسْلَ الرِّجْلَيْنِ إِلَى الْكَعْبَيْنِ	يَا أَيُّهَا الَّذِينَ آمَنُوا إِذَا قُمْتُمْ إِلَى الصَّلَاةِ فَاغْسِلُوا وُجُوهَكُمْ وَأَيْدِيَكُمْ إِلَى الْمَرَافِقِ وَامْسَحُوا بِرُءُوسِكُمْ وَأَرْجُلَكُمْ إِلَى الْكَعْبَيْنِ ۚ وَإِنْ كُنْتُمْ جُنُبًا فَاطَّهَّرُوا ۚ وَإِنْ كُنْتُمْ مَرْضَىٰ أَوْ عَلَىٰ سَفَرٍ أَوْ جَاءَ أَحَدٌ مِنْكُمْ مِنَ الْغَائِطِ أَوْ لَامَسْتُمُ النِّسَاءَ فَلَمْ تَجِدُوا مَاءً فَتَيَمَّمُوا صَعِيدًا طَيِّبًا فَامْسَحُوا بِوُجُوهِكُمْ وَأَيْدِيكُمْ مِنْهُ ۚ مَا يُرِيدُ اللَّهُ لِيَجْعَلَ عَلَيْكُمْ مِنْ حَرَجٍ وَلَـٰكِنْ يُرِيدُ لِيُطَهِّرَكُمْ وَلِيُتِمَّ نِعْمَتَهُ عَلَيْكُمْ لَعَلَّكُمْ تَشْكُرُونَ	ليس حديثًا، بل هو إعادة صياغة فقهية مشوشة لآية الوضوء في سورة المائدة. ترتيب الأعضاء المذكورة يطابق الآية، لكن أكثر الألفاظ محوَّل من خطاب القرآن إلى نثر تفسيري؛ وأوضح run متصل مطابق هو «إلى الكعبين».
R000526:a1	hadith	quran	0.09	likely_WRONG_topical_drift	1	سورة المائدة 95	سورة المائدة 95	لاَ تُسَافِرُوا بِالْمَشَاعِرِ الْحَرَامَ وَلاَ تَشْرَبُوا مِنَ الْخَمْرِ شَيْئًا، فَإِنَّهَا مَيِّتَةٌ، وَلاَ تَأْكُلُوا مِنَ الْمَيْتَةِ، وَلاَ تَقْتُلُوا الصَّيْدَ وَأَنْتُمْ حُرُومٌ، وَلاَ تَنْصَرِفُوا عَنْ أَمْرِي بَعْدَ أَنْ تَقُومُوا مِنَ الْجُمُعَةِ، وَلاَ تَجْمَعُوا بَيْنَ الصَّلاَةِ وَالْخَمْرِ، وَلاَ تَجْمَعُوا بَيْنَ الصَّلاَةِ وَالنِّسَاءِ، وَلاَ تَجْمَعُوا بَيْنَ الصَّلاَةِ وَالنَّوْمِ، إِلاَّ أَتَيْتُمْ بِالْحَقِّ، وَقَلِيلٌ مِنْ رَبِّكُمْ خَيْرٌ، أَمَا وَعَدَكُمْ رَبُّكُمْ أَنْ يَسْتَجِيبَ لَكُمْ فَاسْتَجِيبُوا لَهُ	يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَقْتُلُوا الصَّيْدَ وَأَنْتُمْ حُرُمٌ ۚ وَمَنْ قَتَلَهُ مِنْكُمْ مُتَعَمِّدًا فَجَزَاءٌ مِثْلُ مَا قَتَلَ مِنَ النَّعَمِ يَحْكُمُ بِهِ ذَوَا عَدْلٍ مِنْكُمْ هَدْيًا بَالِغَ الْكَعْبَةِ أَوْ كَفَّارَةٌ طَعَامُ مَسَاكِينَ أَوْ عَدْلُ ذَٰلِكَ صِيَامًا لِيَذُوقَ وَبَالَ أَمْرِهِ ۗ عَفَا اللَّهُ عَمَّا سَلَفَ ۚ وَمَنْ عَادَ فَيَنْتَقِمُ اللَّهُ مِنْهُ ۗ وَاللَّهُ عَزِيزٌ ذُو انْتِقَامٍ	العبارة في معظمها ملفقة ومركبة من نواهٍ وعبارات متفرقة لا تُطابق نصًا نبويًا واحدًا ولا نصوصًا متعددة بعبارات متصلة، لكن فيها مقطع قرآني حقيقي واضح هو: 'لا تقتلوا الصيد وأنتم حرم'، وهو من المائدة 95، مع تحريف آخر الكلمة في span إلى 'حروم'. ولا يظهر في بقية الكلام تطابقٌ بعبارة متصلة معتبرة مع نص canonical آخر.
R004369:a2	hadith	quran	0.12	likely_WRONG_topical_drift	1	سورة التوبة 36	سورة التوبة 36	أَيُّهَا النَّاسُ، اسْتَعِينُوا بِاللَّهِ وَاعْلَمُوا أَنَّ اللَّهَ مَعَ الْمُتَّقِينَ، وَاسْتَغِيثُوا بِاللَّهِ إِنَّ الْمُسِيءَ يُغِيثُ اللَّهُ، وَمَنْ دَعَا اللَّهَ مِنْ قَلْبٍ نَقِيٍّ وَنِيَّةٍ صَادِقَةٍ، لَمْ يَرُدَّ اللَّهُ دُعَاءَهُ سِوَى دُعَاءٍ بِالْمَعُونَةِ عَلَى الْمَعُونَةِ، وَلَمْ يَرُدَّهُ بِمَا يَكْرَهُ	إِنَّ عِدَّةَ الشُّهُورِ عِنْدَ اللَّهِ اثْنَا عَشَرَ شَهْرًا فِي كِتَابِ اللَّهِ يَوْمَ خَلَقَ السَّمَاوَاتِ وَالْأَرْضَ مِنْهَا أَرْبَعَةٌ حُرُمٌ ۚ ذَٰلِكَ الدِّينُ الْقَيِّمُ ۚ فَلَا تَظْلِمُوا فِيهِنَّ أَنْفُسَكُمْ ۚ وَقَاتِلُوا الْمُشْرِكِينَ كَافَّةً كَمَا يُقَاتِلُونَكُمْ كَافَّةً ۚ وَاعْلَمُوا أَنَّ اللَّهَ مَعَ الْمُتَّقِينَ	The only clear recoverable canonical fragment is the exact Qur'anic clause 'واعلموا أن الله مع المتقين', which appears verbatim in سورة التوبة 36. The rest of the span is a fabricated/stitched exhortation and does not reproduce any single canonical hadith matn by a meaningful contiguous run.
R001379:a2	hadith	quran	0.13	likely_WRONG_topical_drift	1	سورة الأحزاب 56	سورة الأحزاب 56	"أفضل أيام الدنيا يوم الجمعة، فيه بعث الله نبياً، وفيه سقطت من السماء كلمات لا يسقطنها الله أبداً: ""إن الله وملائكته يصلون على النبي"	إِنَّ اللَّهَ وَمَلَائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ ۚ يَا أَيُّهَا الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَسْلِيمًا	أكثرُ span مُفَبْرَكٌ ومُرَكَّبٌ ولا يطابق حديثًا canonically، لكن خاتمته تقتبس اقتباسًا لفظيًّا مباشرًا من القرآن: «إن الله وملائكته يصلون على النبي»، وهو صدرُ آية الأحزاب 56. أمّا ما قبلها عن يوم الجمعة وبعث نبيٍّ وسقوط كلمات من السماء فلا يُعْرَفُ كمتنٍ واحدٍ في الكتب الستة.
