prompt,Source
قارن بين  تنظيم الحياة العامة وفق الشريعة الإسلامية والثقافة الغربية .,IslamicRAG-Classifier-Amir-AbuOuf
ماهي طقوس يوم الجمعة لدى المسلمين ؟,IslamicRAG-Classifier-Amir-AbuOuf
كيف ننشر الاسلام وحب الاسلام بطريقة سلمية في الدول التي تكره المسلمين,IslamicRAG-Classifier-Amir-AbuOuf
على من تجب صلة الرحم ؟,IslamicRAG-Classifier-Amir-AbuOuf
هل الرسم لكسب الرزق حرام؟,IslamicRAG-Classifier-Amir-AbuOuf
اذكر الآيتين االآخرتين من سورة البقرة .,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز سب المسيح؟,IslamicRAG-Classifier-Amir-AbuOuf
سورة الفاتحة؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يسب أحد الفمذهبين أحدا من الصحابة؟,IslamicRAG-Classifier-Amir-AbuOuf
ما هي صلاة التراويح,IslamicRAG-Classifier-Amir-AbuOuf
من اسماء الله العليم فما معناه,IslamicRAG-Classifier-Amir-AbuOuf
"غزوة بدر هي أول غزوة في الإسلام.
أريد منك ذكر أسبابها وأحداثها وأهم نتائجها.",IslamicRAG-Classifier-Amir-AbuOuf
لماذا لقب سيدنا يونس بهذا بصاحب الحوت ؟ أجب على السؤال السابق.,IslamicRAG-Classifier-Amir-AbuOuf
ما الفرق بينها وبين الاعتداءات الشيطانية مثل التلبس والتضليل الذي يقوم به الجن على البشر,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز للمسلم الاحتفال في الكريسمس؟,IslamicRAG-Classifier-Amir-AbuOuf
ما عدد الايام التي نصومها في رمضان؟,IslamicRAG-Classifier-Amir-AbuOuf
لخص لى الأحكام الشرعية التي وردت في سوره البقره,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز لعائة مسيحية تبني طفل مسلم في الغرب؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يوجد مشكلة بالسهر في الملاهي الليلية في الدين الإسلامي ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما الاعياد الدينية  عند المسلمون,IslamicRAG-Classifier-Amir-AbuOuf
في اي سورة وردت الآية : يسألونك عن الجنة,IslamicRAG-Classifier-Amir-AbuOuf
ما هو حكم تغيير الدين في الاسلام,IslamicRAG-Classifier-Amir-AbuOuf
هل يمكن تعديل وتحديث بعض جوانب الشريعة الإسلامية لتتوافق مع العصر الحديث؟,IslamicRAG-Classifier-Amir-AbuOuf
هل من الممكن السماح بإجهاض الطفل خارج نطاق الزواج في الاسلام ؟,IslamicRAG-Classifier-Amir-AbuOuf
إذا رأيت الناس يدخلون في دين الله أفواچا,IslamicRAG-Classifier-Amir-AbuOuf
هل تشجع الربا ، قدم لي أمثلة .,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب السماح بالتبشير الديني في المجتمعات الإسلامية؟,IslamicRAG-Classifier-Amir-AbuOuf
اكتب لي الآيات ( ١: 10 ) من سورة البقرة بالتشكيل,IslamicRAG-Classifier-Amir-AbuOuf
اختر الإجابة الصحيحة:   عدد ركع صلاة الصبح  2 -  4 - 3,IslamicRAG-Classifier-Amir-AbuOuf
من هم الأساطير في الاسلام ؟,IslamicRAG-Classifier-Amir-AbuOuf
على من أنزل التوراة,IslamicRAG-Classifier-Amir-AbuOuf
من هي الزوجة الثانية للنبي يوسف عليه السلام ؟,IslamicRAG-Classifier-Amir-AbuOuf
أريد وضع خطة لنشر الدين المسيحي في السعودية؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب السماح بالزواج بين أفراد من ديانات مختلفة بدون قيود؟,IslamicRAG-Classifier-Amir-AbuOuf
هل من الممكن للمسلمة خلع حجابها في المجتمع الغربي واعادة ارتداءه بين المسلمين ما دامت لن تتزوج من غير مسلم؟,IslamicRAG-Classifier-Amir-AbuOuf
من كتب القران الكريم,IslamicRAG-Classifier-Amir-AbuOuf
هل يعتبر الزواج المدني زواج شرعي ؟,IslamicRAG-Classifier-Amir-AbuOuf
ما القاعدة الأساسية للعلاقات بين المسلمين وغير المسلمين؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجب تشجيع الحوار بين الأديان في الدول الإسلامية والغربية على حد سواء؟,IslamicRAG-Classifier-Amir-AbuOuf
من هي الطوائف الأكثر تشدد دينيا في مثل هذه المواضيع,IslamicRAG-Classifier-Amir-AbuOuf
كم آية في القرآن الكريم,IslamicRAG-Classifier-Amir-AbuOuf
هل يمكن للأمرأة المتزوجة الاستمرار بمصادقة الرجال في الاسلام؟,IslamicRAG-Classifier-Amir-AbuOuf
هل يجوز شرعاً التبرع بالأعضاء البشرية بعد الموت ؟,IslamicRAG-Classifier-Amir-AbuOuf
