prompt,Source,Classification
????? ???? ???????? ?? ??????? ???????? ??????? ?,IslamicRAG-Classifier-Amir-AbuOuf,1
?????? ?? ????? ????? ???,production_user_and_guest_chat_messages,0
????? ??????? ???? ????? ?? ????? ??? ?? ???,Chat Messages_2025_10_natural_instruct,1
"?? ??????? ?? ??????? ????? ???:
""?????? ???????? ????? ?????? ????????.""
???? ???? ????? ??????? ?????? ??????? ???????? ?? ????????",Chat Messages_2025_10_natural_instruct,0
?? ?????? ?? ? ??? ? ?? ???? ??????? ??? ????? ????? ????,production_user_and_guest_chat_messages,1
"?? ????? ?????? ?? ?????? ??????
- ?? ?? ??? ?????? ???? ??? ???? ?????? ??????",production_user_and_guest_chat_messages,1
?? ???? ?? ????????? ? ????? ???????,production_user_and_guest_chat_messages,1
????? ???? ??????? ???? ?????? ?? ?????? ?????? ?? ?????. ??? ???? ?????,Chat Messages_2025_10_natural_instruct,1
???? ??? ???? ?? ?????. ????? ?? ???????? ??????? ???? ?? ???? ??? ????????? ??????? ?? ??? ????? ??? ??????,production_user_and_guest_chat_messages,0
?? ?? ??? ??? ?? ????? ???? ??? ???? ???? ????,Chat Messages_2025_12_Staging,1
???? ?????? ??????? ??????????,production_user_and_guest_chat_messages,0
"?? ??? ""????"" ?? ???????",Chat Messages_2025_10_natural_instruct,0
??? ???????????? ???????????? ??????? ?????????? ???? ?????,production_user_and_guest_chat_messages,1
"""???"" ????? ????? ??? ???????? ????? ???? ???? ?????? ????? ?? ????? ?????????? ????? ???? ????? ????? ??????. ?? ??? ???? ?? ??? ????? ?????????",Chat Messages_2025_11_Dev_natural_instruct,1
???? ?? ????? ??????,production_user_and_guest_chat_messages,1
??? ???? ???? ???? ?? ?????? ?? ??? ??? ???????,Chat Messages_2025_12_Staging,1
??????? ??????? ???? ?? ?? ????,Chat Messages_2025_12_Staging,1
????? ??? ??????? ????????,production_user_and_guest_chat_messages,1
?? ??? ??? ??????,production_user_and_guest_chat_messages,1
???? ???? ???? ?? ???????? ????? ??? ?????,production_user_and_guest_chat_messages,1
? ??? ??? ??? ?????? ???? ??? ????? ????,production_user_and_guest_chat_messages,1
?? ??? ?? ????? ????,production_user_and_guest_chat_messages,1
?? ????? ??? ???????  ???????,production_user_and_guest_chat_messages,1
?? ???? ????? ?????? ?????? ?? ????? ????? ???? ??????? ?? ???? ??? ????? ?????? ?? ?????? ????????,Chat Messages_2025_10_natural_instruct,0
??? ???? ??????? ???????? ?? ????? ?? ??????? ?????????? ????? ???? ?????? (??? ????? ??? ?????? ?????? ?????? ??????? ?????? ??????? ?????? ????? ???????? ?????????.),Chat Messages_2025_11_Dev_natural_instruct,0
???? ????? ??????? ???????? ?????,production_user_and_guest_chat_messages,1
???? ???? ?? ????? ????? ??????? ??? ????? ?????? ??? ??? ??? ???????? ????? ????? ??? ????? ?????? ???????.,Chat Messages_2025_11_Dev_natural_instruct,0
????? ??? ??????? ?????? ?????? ??? ????? ????????,production_user_and_guest_chat_messages,1
?????? ????? “???? ????? ??? ????????” ?????? ????.,Chat Messages_2025_10_natural_instruct,0
??? ?????? ????? ?? ???? ?????? ??? ????? ??,Chat Messages_2025_10_natural_instruct,0
??? ???? ??????? ??“????? ?????” ?? ?? ?????? ?????????,Chat Messages_2025_12_Staging,1
"????
?????  ???? ????? ?? ??????? ??? ????? ?? ????????",Chat Messages_2025_10_natural_instruct,1
??????? ????? ??? ??????? ?? ????? ????? ?? ???? ????? ?? ?????? ?????? ?? ???????? ??? ????? ?????????,production_user_and_guest_chat_messages,0
?? ????? ???? ?????? ??? ?????,IslamicRAG-Classifier-Amir-AbuOuf,1
??? ????? ???? ????? ?? ???? ???? ??  ????? ??? ??????? ??????? ???????? ????????? ?? ???? ????? ???? ????? ? ?? ?? ???? ?????,production_user_and_guest_chat_messages,1
"????? ?????? ""?? ??? ?????""?",production_user_and_guest_chat_messages,0
?? ?? ??????? ?? ?????,production_user_and_guest_chat_messages,0
"???? ??????:
???????? ?? ??????? ???? ??? ???????? ??? ????? ????? ??????? ????? ??????? ??? ????? ??? ?????? ?? ????? ?? ????????? ??? ????? ?? ???????.
. ????? ????? ???????? ????????? ??????????? ?????????? ??????? ????? ????????????? * ??? ??????? ???? ?????????? ???????? ??????? ??????? ??????????????? ???????:???-???.
???? ??? ??? ???????? ??????? ?? ?? ??? ?????? ????? ???? ?????? ?? ???? ?????????? ?????? ?????? ?? ??????. 
???????? ???? ??????? ??????? ?????? ????? ?? ?????? ???????? ??????? ??? ??? ????? ??? ???? ???? ????: ""?? ???? ???? ???? ???? ??? ?? ??? ???? ??? ????"".
????? ???? ?????? ??? ???? ???? ????? ??????? ????.
 ????? ??????
??? ???? ??????? ?????? ???? ?????? ??? ?????: ?????? ???????? ???????? ??????????? ?????? ?????????????? ????????:.??










?????? ????? ?????? ??? ?????.
 ???? ???? ??????? ?????? ???? ????? ??????? ?? ??????? ???????.",production_user_and_guest_chat_messages,0
????? ?????? ??????? ?? ????? ??????? ???? ???? ?? ?? ??????? ???? ??? ????? ????????,Chat Messages_2025_12_Staging,1
???? ??? ?????? ?? ???? ???? ??? ??? ?? ??? ???????. ???? ??? ???? ??? ?? ????? ???? ???? ???? ??? ??? ?????? ???????? ???? ? ???? ???? ????? ??? ??? ???: ???? ??????? ?????? ????? ???? ????? ??? ???? ?????? ????? ? ???? ??? ????. ????? ???? ??????? ????? ???. ????? ??? ????? ?? ?????? ????????? ????????? ????? ???? ???. ????? ?? ????? ????? ???? ????? ??? ?? ?????? ????? ?? ???? ?? ???. ????? ????? ???? ?????? ????? ?????? ??????. ??? ???? ???? ?? ??? ??????? ???? ???? ??? ?????? ??? ????? ???? ??????? ?? ????? ?? ???? ????? ??? ????? ?? ????? ????? ???? ??? ??? ? ???? ????? ????????. ??????? ???? ??? ???????,production_user_and_guest_chat_messages,1
??? ???? ??????? ?? ??????,production_user_and_guest_chat_messages,1
?? ???? ??? ??? ????? ???? ???? ???????,production_user_and_guest_chat_messages,1
??? ??? ??????? ??? ?? ????? ???? ??? ??????? ???? ????? ?????,Chat Messages_2025_10_natural_instruct,1
????? ????? ?? ??? ????? ????? ??????? ??? ????? ?????? ????? ??????? ????? ??? ??????? ?????? ??????? ?????? ?? ??? ??????? ????? ...,production_user_and_guest_chat_messages,0
?? ????? ????? ??????? ?? ?????? ??? ?? ??????? ?? ???????,Chat Messages_2025_10_natural_instruct,1
?? ?? ???? ?????? ??? ???? ??? ?????? ?????????? ??????? ????? ?????? ?????? ?? ??????? ??????? ???? ???? ?????? ????,production_user_and_guest_chat_messages,1
???? ?? ???? ??????? ???????? ??? ???? ???? ????? ????? ??? ??????? ?? ??? ?? ???? ?????? ??? ???????? ????????,production_user_and_guest_chat_messages,0
?? ????? ???? ??? ????? ??????,production_user_and_guest_chat_messages,0
"?""???? ??? ??? ??????? ??????? ?? ??????? ????? ???? ??????? ????????? ??????? ????????? ??? ?? ?? ???????? ?????? ???"" ?? ??????? ?????? ?????? ?????",production_user_and_guest_chat_messages,0
?? ???? ????? ???? ????? ???? ????? ???? ?? ?? ????? ??????,production_user_and_guest_chat_messages,0
????? ???? ??????? ?? ???? ????? ?????: ?????? ?? ???????? ?? ????? ????????? ??????? ???????? ?? ??????  ????????  ??? ???? ?? ????? ????????,Chat Messages_2025_10_natural_instruct,0
????? ???????? ????? ????,production_user_and_guest_chat_messages,1
?? ????? ????? ?????? ?? ???? ??????,production_user_and_guest_chat_messages,0
???? ??? ????? ???? ????? ????? ??? ??????,production_user_and_guest_chat_messages,0
??? ?????? ?? ??? ?????? ????? ????? ?? ?? ??? ?? ??? ????? ???,production_user_and_guest_chat_messages,1
?? ????? ?????????? ??? ????? ???? ??? ???? ????,production_user_and_guest_chat_messages,0
??? ?????? ? ??? ????,production_user_and_guest_chat_messages,1
???? ?????? ???? ???? ?????????,Chat Messages_2025_12_Staging,0
"?? ?? ??????? ???? ???? ???? ???????
?) ??? ?? ?????? ?) ????? ??????? ?) ??? ????? ?? ?????? ?) ??? ?? ????",Chat Messages_2025_10_natural_instruct,0
"??? ??? (??) ?? ??? ??????: ?? ??? ?? ?????? ?? ????. (???? ??????? ??????? ??? ????)
?. ?????????.
?. ???????.
?. ???????",production_user_and_guest_chat_messages,0
???? ?? ?????? ????????,production_user_and_guest_chat_messages,0
? ??? ????? ??? ?? ?????,production_user_and_guest_chat_messages,0
??? ??????? ?????? ?? ??????: ?? ???? ????? ??? ??????? ?????? (???????? ?? ????????? ?? ?????? ???????) ???? ?? ???? ??????? ?????? ????? ???????,Chat Messages_2025_10_natural_instruct,1
??? ???? ???? ??? ???? ?? ???? ??????? ????? ???? — ?? ????? ?????,Chat Messages_2025_10_natural_instruct,1
"??? ?????? ????????? ???: '??? ????' ?'???? ???' ?'?? ???? ??????' ?? ??? ??????? ????????.""",Chat Messages_2025_10_natural_instruct,0
?? ???????? ??????? ???? ?? ???? ??????,Chat Messages_2025_10_natural_instruct,1
?? ??? ???????? ?? ??????,production_user_and_guest_chat_messages,1
????? ????? ?? ????????? ????? ????? ??????? ????? ?,production_user_and_guest_chat_messages,1
?? ?? ?????? ???? ???? ????? ??????,production_user_and_guest_chat_messages,1
??? ????? ??????? ??? ?????? ??? ?????? ?? ?????? ????? ?? ???????? ??????? ???? ????????? ?????? ?? ?????? ???????? ?? ??? ??? ?????? ?? ??????.,Chat Messages_2025_12_Staging,1
?? ?? ????? ??? ???? ?????????,production_user_and_guest_chat_messages,1
?? ??? ??????? ?????,production_user_and_guest_chat_messages,1
?? ???? ???? ???? ????? ?? ??????? ???? ???? ????,production_user_and_guest_chat_messages,1
???? ?????? ?????? ???? ?????? ??? ??? ???? ????? ??? ?????? ????,production_user_and_guest_chat_messages,1
ƒ?[??? ?????? ????? ????? ??? ????? ??? ?? ??????? ?? ????? ??? ??????? ?? ??????? ???? ???? ???????,production_user_and_guest_chat_messages,1
?? ???? ???? ??????,production_user_and_guest_chat_messages,1
??? ??? ??? ????? ?????? ?? ?????? ??????? ?? 6,production_user_and_guest_chat_messages,0
???? ??? ?? ???????? ?? ????,production_user_and_guest_chat_messages,1
?? ??????? ?? ??????? ???? ?? ????,production_user_and_guest_chat_messages,1
????? ???? ????? ?? ???????? ?? ???? ????? ???? ?? ??? ?? ???? ?? ????,Chat Messages_2025_10_natural_instruct,1
??? ???? ?????? ??? ????? ??? ???? ????? ????? ???????,production_user_and_guest_chat_messages,1
?? ?????? ???? ???? ???? ???? ??????? ?? ????? ????? ??????? ???????? ?? ??????? ??????? ?? ???? ?? ?????? ???? ???? ???? ??? ???? ?????? ????? ?? ???????? ????????? ???? ???????? ??????? ????? ??????? ????????? ?????,Chat Messages_2025_12_Staging,0
